Start,End,X,Y,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,Russia,3029.57,1633.7775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9632.0,9201.0,7791.0,6152.0,6226.0,6256.0,5053.0,4830.0,4166.0,2813.0,-1.0,-1.0,-1.0,-1.0,-1.0,527287.0,-1.0,527659.0,-1.0,527163.0,526997.0
China,Australia,530.4953,646.23975,860.0,870.0,560.0,580.0,1220.0,2190.0,1820.0,2070.0,2810.0,4220.0,3430.0,8400.0,6880.0,4610.0,4400.0,8550.0,12450.0,8460.0,10310.0,13070.0,16700.0,22220.0,29000.0,33410.0,29860.0,28820.0,32190.0,42920.0,54300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,508870.0,-1.0,472931.0,-1.0,641624.0,653232.0
India,Australia,581.41406,427.10086,1220.0,1560.0,1870.0,2090.0,2300.0,2510.0,2390.0,2900.0,2990.0,2980.0,3930.0,6080.0,5450.0,3350.0,4570.0,6420.0,5780.0,6410.0,7810.0,8370.0,10390.0,9380.0,9240.0,15080.0,18310.0,19920.0,27880.0,41920.0,58400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,449040.0,-1.0,408880.0,-1.0,568971.0,579264.0
Malaysia,Australia,214.17679,506.35324,12390.0,14420.0,12820.0,12330.0,11690.0,11100.0,10620.0,12320.0,14160.0,13160.0,12240.0,10340.0,8650.0,8430.0,8780.0,9550.0,10890.0,10740.0,9420.0,9160.0,10900.0,12520.0,14810.0,16880.0,12540.0,13130.0,13890.0,13540.0,14950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143420.0,-1.0,164534.0,-1.0,174136.0,177286.0
New_Zealand,Australia,425.6517,512.85046,34370.0,34440.0,23920.0,13620.0,16900.0,27070.0,31240.0,31610.0,43960.0,34060.0,21670.0,16680.0,16410.0,16140.0,19530.0,23400.0,25600.0,28120.0,32500.0,40200.0,47230.0,45570.0,29500.0,28000.0,40710.0,44680.0,45550.0,39120.0,46960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,611266.0
Philippines,Australia,266.99997,953.86926,3610.0,4050.0,4430.0,4510.0,4010.0,4700.0,5720.0,9870.0,11510.0,8060.0,7410.0,7740.0,6230.0,5080.0,5720.0,5470.0,3990.0,4330.0,4580.0,4910.0,4750.0,4650.0,5290.0,5460.0,7160.0,8070.0,10040.0,11160.0,13760.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,241130.0,-1.0,233108.0,-1.0,281216.0,286303.0
United_Kingdom,Australia,333.3585,403.14966,43540.0,57050.0,51730.0,31660.0,25150.0,27630.0,35910.0,38980.0,45550.0,44620.0,45860.0,42820.0,36580.0,34720.0,36180.0,39040.0,40540.0,42010.0,42700.0,49310.0,51000.0,52940.0,57330.0,70150.0,53140.0,53300.0,57250.0,61490.0,65160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Austria,Germany,2336.9707,1417.2075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11328.0,11120.0,10456.0,-1.0,5587.0,5470.0,6000.0,7219.0,9618.0,8417.0,9740.0,-1.0,9752.0,10361.0,-1.0,-1.0,-1.0,217137.0,-1.0,258452.0,-1.0,238191.0,285790.0
Germany,Austria,2104.9255,1455.1733,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8963.0,10362.0,10917.0,11836.0,11784.0,15810.0,9693.0,12429.0,15142.0,16846.0,18085.0,16908.0,17911.0,-1.0,-1.0,15560.0,15175.0,-1.0,-1.0,223705.0,-1.0,246340.0,-1.0,264081.0,232836.0
Azerbaijan,Russia,3366.5503,1382.1338,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11312.0,8149.0,12363.0,9175.0,7118.0,8393.0,6230.0,3691.0,3140.0,2285.0,2495.0,2160.0,2620.0,2028.0,983.0,-1.0,-1.0,-1.0,-1.0,-1.0,767339.0,-1.0,767881.0,-1.0,767159.0,766918.0
